Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,States Affected Names_1,States Affected Names_2,States Affected Names_3,States Affected Names_4,States Affected Names_5,SS HWS max,Central Pressure (mb) min
6/26/1986,0900Z,29.5N,94.2W,75,1,10,990,CTX1,Bonnie,Texas,NULL,NULL,NULL,NULL,NULL,2,964
8/17/1986,1400Z,34.7N,76.5W,65,1,15,990,NC1,Charley,North Carolina,NULL,NULL,NULL,NULL,NULL,4,941
10/12/1987,2100Z,25.1N,80.5W,65,1,10,993,BFL,Floyd,Florida,NULL,NULL,NULL,NULL,NULL,2,956
9/9/1988,2300Z,28.5N,89.3W,70,1,15,984,LA1,Florence,Louisiana,NULL,NULL,NULL,NULL,NULL,1,956
8/1/1989,1300Z,29.6N,94.4W,70,1,15,986,CTX1,Chantal,Texas,NULL,NULL,NULL,NULL,NULL,1,986
9/22/1989,0400Z,32.8N,79.8W,120,4,20,934,"SC4,INC1",Hugo,North Carolina, South Carolina,NULL,NULL,NULL,NULL,4,934
10/16/1989,0030Z,29.2N,95.0W,75,1,10,983,CTX1,Jerry,Texas,NULL,NULL,NULL,NULL,NULL,1,983
8/19/1991,1720Z,41.2N,71.6W,90,2,25,962,"RI2,MA2,NY2,CT2",Bob,Rhode Island, New York, Massachusetts, Connecticut,NULL,NULL,2,962
8/24/1992,0905Z,25.5N,80.3W,145,5,10,922,"CFL5,BFL4",Andrew,Florida,NULL,NULL,NULL,NULL,NULL,5,922
8/31/1993,2100Z,35.2N,75.1W,100,3,30,961,NC3,Emily,North Carolina,NULL,NULL,NULL,NULL,NULL,3,961
8/2/1995,0615Z,27.7N,80.3W,75,1,40,984,CFL1,Erin,Florida,NULL,NULL,NULL,NULL,NULL,2,973
10/4/1995,2200Z,30.3N,87.1W,100,3,50,942,"AFL3,IAL1",Opal,Florida, Alabama,NULL,NULL,NULL,NULL,3,942
7/12/1996,2000Z,34.3N,77.8W,90,2,40,974,NC2,Betha,North Carolina,NULL,NULL,NULL,NULL,NULL,2,974
9/6/1996,0030Z,33.9N,78.0W,100,3,40,954,NC3,Fran,North Carolina,NULL,NULL,NULL,NULL,NULL,3,954
7/18/1997,0900Z,29.3N,89.7W,65,1,10,989,LA1,Danny,Louisiana,NULL,NULL,NULL,NULL,NULL,1,984
8/27/1998,0400Z,34.4N,77.7W,95,2,60,964,NC2,Bonnie,North Carolina,NULL,NULL,NULL,NULL,NULL,2,964
9/3/1998,0600Z,30.1N,85.7W,70,1,70,987,AFL1,Earl,Florida,NULL,NULL,NULL,NULL,NULL,1,987
9/25/1998,1530Z,24.5N,81.8W,90,2,25,981,BFL2,Georges,Florida,NULL,NULL,NULL,NULL,NULL,2,964
8/23/1999,0000Z,26.9N,97.4W,100,3,10,951,ATX3,Bret,Texas,NULL,NULL,NULL,NULL,NULL,3,951
9/16/1999,0630Z,33.8N,78.0W,90,2,35,956,NC2,Floyd,North Carolina,NULL,NULL,NULL,NULL,NULL,2,956
10/15/1999,2000Z,25.3N,81.1W,70,1,40,987,BFL1,Irene,Florida,NULL,NULL,NULL,NULL,NULL,2,952
10/3/2002,1300Z,29.5N,92.2W,80,1,10,963,LA1,Lili,Louisiana,NULL,NULL,NULL,NULL,NULL,1,963
7/15/2003,1530Z,28.3N,96.2W,80,1,15,979,BTX1,Claudette,Texas,NULL,NULL,NULL,NULL,NULL,1,979
